Hashtags	Contagem
curitiba	61689
Gabigol	743239
olivia	428466
Gabriel	904479
Zé Rafael	240
Oasis	267773
Roger Guedes	240
#CorridaDasBlogueiras6	24569
Nestor	88450
#CorridaDasBlogueiras	240
Léo Picon	930875
G4 NO TOPO	83518
Pogba	240
hoseok	655351
Diretoria	144642
Vaticano	161627
The Town	459702
#EsquentaBlackKaBuM	240
Katy Perry	20898
Naves	240
#SKZ_GIANT_OutNow	164563
Wicked	976710
hobi	1236048
st vincent	240
Medina	54184
#RomeWordExpo	49997
Erika Hilton	652484
Léo Jardim	240
Viola	202888
Conmebol	240
Linkin Parque	240
#ManiaDeVocê	82527
Sérgio Ramos	240
Otero	164114
Borges	240
Vanderlan	240
FIRST STEP OF STRATEGY	70029
jout jout	240
Lolla	240
Ednaldo	240
#AlmaGêmea	34703
Braz	47585
Landim	63675
Denzel Washington	175350
bagi	136403
Cinemark	240
Nikolas Ferreira	299745
#TWICE_14th_MiniAlbum	53849
Jahde	240
Lázaro	240
Di Maria	240
QUARTA FEIRA	240
Flamengo	1225636
#VoleiNoSporTV	240
#DunsheeNÃO	11169
FIM DA ESCALA 6X1	1949189
#ProvaDeFogo	240
Débora	240
Militares	334469
Aprovado	240
Ticketmaster	240
#3YearsOfRedTaylorsVersion	240
Ídolo	97649
Lorena	240
SEXTOU NAS RUAS	240
Paloma	54337
vini freire	240
Maracatu	240
#CDB6	240
#DunsheeNAO	240
Dacota	240
#ATHCAT	240
Mavi	40634
Maverick	240
Caitlyn	547107
Estaduais	240
Igor Gomes	240
Niterói	240
Rangel	240
Folha	599447
Saulo Mineiro	240
Marco Rubio	1327417
Luma	10717
jhope	884836
Marina Sena	240
Cruzeiro	181495
STRAY KIDS UNLEASH THE GIANT	77578
Kisy	240
PSOL	123992
Sarah Vika	240
Jae Rim	12674
Gabriel Menino	240
$ito	240
#SKZ_GIANT	213295
Planeta Atlântida	240
Sadrak	240
Castelos	240
Paulistão 2025	240
Mauro Cezar	240
#BABYTOKEN	240
Atlético	207355
Nicola	240
Pinguim	240
Luana Piovani	240
high school musical	240
nikolas ferreira	127383
Beto	240
O SBT	240
#JACKANDJOKEREP10	2589887
#bdsp	240
#RailtownAI	240
São Gonçalo	240
Viktor	518530
Ceará	240
Sesc	240
Maurício Lemos	240
Denji	34325
Zico	70843
Rony	25045
#新たな伝説生むスキズGIANT	25343
#MasterChefBR	240
Keiller	240
Everson	240
Arena MRV	121631
#RoçaAFazenda	240
Glayce	240
Pitbull	240
Bloqueio	240
Jayce	255025
Klay	73041
Pesquisa	240
Arthur Elias	240
Renault	240
EU MEREÇO	240
#PecDaAlforriaSim	240
Gávea	240
ASCOM	240
Giorgia	14388
Crivella	240
Megan Fox	88538
#IceOnMyTeeth	44025
#FIMDAJORNADA6X1	240
Marcos Braz	240
Pantera Negra 3	240
sarah vika	240
Geraldo Alckmin	240
joe alwyn	240
Marco Angulo	240
Ju Barbosa	240
Gabz	240
Percy	22950
Diogo Dantas	240
Vini Freire	240
Neri	240
Paysandu	240
Gallagher	240
#GoldenHour_Part2	48884
Marcelinho	240
Couto Pereira	240
Apple iPhone 13	240
Deadpool & Wolverine	240
STJD	240
Plak	240
Marcelo Teixeira	240
Bruno Muzzi	240
Minas	25515
Eliezer	240
SANTOS FUTEBOL CLUBE	240
Spindel	240
Bagi	49125
Nobru	240
Thaisa	240
Song Jae Rim	14008
Venham	240
Molly	39533
Gustavo Lima	240
Santos Futebol Clube	240
Ainda Estou Aqui	114580
Estadual	240
Decisão	24031
Caio Alexandre	240
Rossi	64546
Cleitinho	240
Hillary	69231
Ituano	240
Jinx	692339
Euriquinho	240
Mattos	240
Grupo B	240
Arcane	1657009
EP10 U STEAL MY HEART	2646223
Correto	240
Inter de Limeira	240
Sacola	240
Filipe	86399
clarisse	240
Carille	240
Clarisse	240
Viih Tube	240
Ócio	240
Embiid	25318
Velo Clube	240
Guarani	240
Muzzi	240
Bley	240
Brusque	240
Edinara	240
Coritiba	240
Gavin	29164
#shopee1111	240
Rudá	240
Essa PEC	240
#F360BR	240
128 GB	240
Tábata	10396
Poliana	240
IMAX	240
Esli	240
Keirrison	240
sheilla	240
Jenna	13273
#Squidcraftgames3	14089
Klaus	130559
Patrick	178595
Portuguesa	240
chay suede	240
Denzel	54246
Sergio Ramos	240
#GOLDENHOUR_Part2	19424
#babytoken	240
gustavo lima	240
O Santos	82164
Kant	240
Maricá	240
juan paiva	240
Vermes	240
#escala6x1	240
#A10VOLTOU	240
Galisteu	240
#ปิ่นภักดิ์LiveReactEp15	49873
Trabalhador	153654
Venê	240
Santo André	240
#provadefogo	240
Voltamos	240
rangel	240
PEC 6x1	231564
Água Santa	240
16x1	240
Flesch	240
Isabel	13987
Magras	240
#ARIASARIANA	45043
FINALMENTE OS REFRESCOS	240
Série B	240
Neto	48195
paulo kogos	240
América do Norte	240
#peticao	240
Ryan Gosling	240
ESTAMOS DE VOLTA	240
Luna	107837
haechan	747313
finalmente os refrescos	240
Mirassol	240
Diana	165385
Mourão	240
Faturamento	240
Nelipe Feto	240
Vtuber	292619
O Ego	240
Canva	30189
Azerbaijão	240
Teresina	240
Santos FC	240
jade picon	240
DOGE	336139
Furia	240
Carlinhos Maia	240
Berta	240
Botafogo-SP	240
Mariano	12169
Juan Paiva	240
Walker	172454
Juliano	240
Dia Nacional	240
mc cabral	240
Piltover	240
ócio	240
Giuliano	240
Gabizete	240
bley	240
Interestelar	240
Bitcoin	4158059
Dolphins	84367
Esli Garcia	240
Ty Jerome	240
Rams	93208
Vozão	240
HSM 3	240
Troy	23773
Robson	240
#ProgramaDoRatinho	240
Suprema Corte	44678
Tabata	240
#AlmaGemea	12609
Super Mundial	240
Tutu	240
#TinderDosMarinheiros	240
Atlântida	240
Harden	240
Bets	42476
Laquintana	240
#WWERaw	63791
Ravi	32705
Odinei Ribeiro	240
Donovan Mitchell	240
Pacaembu	240
Luxa	240
NO DOUBT OUT NOW	46454
Mc Cabral	240
Bulls	48874
Shai	12814
Flávia Pavanelli	240
Wendel Silva	240
Sirley	240
chelo	240
Wendel	240
Defante	240
Rubinho Nunes	64547
Brazão	240
Lígia	240
EU RECEBO	240
#santosfc	240
Elias	15753
Trabalhadores	62183
Valesca	240
Furch	240
TRABALHADORES	61785
jeno	142704
Copa do Brasil	42197
Hayner	240
Sandry	240
Regular	85039
Erick Pulga	240
SP e RJ	240
Memphis Depay	240
troy bolton	240
Duda Santos	240
